company,email,phone,domain,source_url,consent_status,verification_status,overall_score,raw_text_snippet
King Travel Can Ltd,milton@kingtravelcan.com,1800-844,kingtravelcan.com,https://kingtravelcan.com/travel-agency-in-milton,unknown,email_verified,26.65,Office Hours
Alhaq Travel,quotes@alhaqtravel.co.uk,020 34757513,alhaqtravel.co.uk,https://www.alhaqtravel.co.uk/contact-us,unknown,email_verified,26.42,Contact US | Alhaq Travel UK  | 020 34757513
Euro Bangla Tours,info@eurobanglatours.com,0121 773 7700,eurobanglatours.co.uk,https://www.eurobanglatours.co.uk,legitimate_interest,email_verified,26.29,"Trusted Hajj & Umrah travel agency in Birmingham. Premium pilgrimage packages, expert guidance, visa processing. Experience the spiritual journey of a lifetime. Book now!"
Shery Travels,info@sherytravels.com,+1 667-439-1263,sherytravels.com,https://sherytravels.com/umrah/usa-packages/chicago,legitimate_interest,email_verified,25.87,"Start your Umrah journey from Chicago with Shery Travels. Easy departures from O'Hare, group travel with Chicago's Muslim community, and full guidance for a smooth and spiritual pilgrimage."
Umrah Packages Birmingham,sales@haleema.co.uk,0158 234 3075,haleema.co.uk,https://www.haleema.co.uk/umrah-birmingham/birmingham-umrah-packages,legitimate_interest,email_verified,25.81,"Birmingham Umrah Packages in 2026, lets travel with Haleema Limited for a secure and hassle-free journey."
Labayk Hajj,info@labaykhajj.ca,67-50596,labaykhajj.ca,https://labaykhajj.ca/about-us,legitimate_interest,email_verified,25.44,"Labayk Hajj is the authorized Hajj and Umrah Travel agency for providing consular services for the Embassy of Saudi Arabia in Ottawa, Ontario, Canada."
Ibadah Tours,info@ibadahtours.com,020 8004 6786,ibadahtours.com,https://www.ibadahtours.com/hajj-packages,legitimate_interest,email_verified,25.31,Follow the Messanger of Allah's words and start your pilgrimage to the House of Allah. Ibadah Tours have created Hajj packages to make this easy.
Al-Shafie Travels,info@alshafietravels.com,+1(718) 973-9626,alshafietravels.com,https://alshafietravels.com/umrah-packages-houston,legitimate_interest,email_verified,23.92,"Explore Umrah packages from Houston 2026 with flights, hotels and visa support. Check Umrah packages Houston prices and plan your trip with Al Shafie Travels."
All,info@hajjumrahhub.com,571-800-0706,hajjumrahhub.com,https://www.hajjumrahhub.com/chicago-umrah-packages.html,legitimate_interest,email_verified,23.92,"Book all-inclusive Umrah packages from Chicago with flights, hotels, visa, and transport. Enjoy budget and luxury options with expert support for a stress-free pilgrimage."
Kasfah Hajj Travels,info@kasfahhajj.com,+1 (204)-505-5110,kasfahhajj.com,https://kasfahhajj.com/umrah-packages,legitimate_interest,email_verified,23.92,Umrah Packages
Umrah Packages From Houston 2026,info@tarteeltravel.com,+1 (267)-536-0700,tarteeltravel.com,https://www.tarteeltravel.com/umrah-packages/houston,legitimate_interest,email_verified,23.92,"Book your Umrah from Houston with Tarteel Travel. Enjoy 5-star accommodation, expert guides, and a stress-free experience in the Holy Cities."
Alhaq Tours,info@alhaqtours.com,312) 923 - 7866,alhaqtours.com,https://alhaqtours.com/chicago-umrah-packages.html,legitimate_interest,email_verified,21.25,"Book all-inclusive Chicago Umrah Packages 2026 with Alhaq Tours. Get flights, visa, transport, and hotels near Haramain at the best prices."
Umrah Packages,info@almaknoontravels.co.uk,+44 208 4786 886,almaknoontravels.co.uk,https://almaknoontravels.co.uk/contact-us,legitimate_interest,email_verified,21.25,Contact Us
Hajj – AlSafwa Tours,info@safwatours.com,+1 (872) 263-9805,alsafwatours.com,https://alsafwatours.com/hajj,legitimate_interest,email_verified,21.25,Hajj
Bismillah Hajj and Umrah Services,bismillahhajj2000@hotmail.com,4 50017480,bismillahhajj.com,https://bismillahhajj.com,unknown,email_verified,21.25,Home - Bismillah Hajj and Umrah Services 416.883.9693 bismillahhajj2000@hotmail.com Home About Us Umrah Packages November Umrah December Umrah Hajj 2025 How to Register Important Information Important Places Common Questions Articles to Pack Arabic Words to Know Seminar Details Hajj Visa Requirements Contact Us Select
Bismillah 2020,info@bismillahtravels.ca,1437 1438,bismillahtravels.ca,https://www.bismillahtravels.ca/about.php,legitimate_interest,email_verified,21.25,desc
Dar El Mecca,darelmecca94@gmail.com,+1 919-426-2061,darelmecca.com,https://darelmecca.com/houston-umrah-packages,unknown,email_verified,21.25,"Explore trusted Umrah Packages from Houston with expert support, premium accommodations, and personalized planning—guided by Dar El Mecca."
Hisar Tour Hajj Umrah,hisartour@uama.us,201-201-8992,hisartour.com,https://hisartour.com/package/hajj-package-chicago-ord-gold,unknown,email_verified,21.25,"Join our 14-day Hajj 2026 Gold Package from Chicago. Stay at Sheraton Makkah, View Hotel Madinah & Mina camp. Pre-register free."
International Hajj,info@internationalhajj.com,212) 967-9797,internationalhajj.com,https://internationalhajj.com/umrah-packages,legitimate_interest,email_verified,21.25,"Book Umrah packages from USA with flights, Umrah Visa, hotels, ground transportation, and Ziyarat tours. Call us now and book instantly."
Kiswa Tours,contact@kiswatours.com,+1 289 222 2786,kiswatours.com,https://www.kiswatours.com/Umrah/umrah-package-january-2025,legitimate_interest,email_verified,21.25,"Umrah Package for January 2025 from Toronto, Edmonton, or Montreal. Get the best Umrah & Hajj 2025 packages, including visa from Canada."
Labbaik Hajj Umrah,info@labbaikhajjumrah.co.uk,02038656950 07598865272,labbaikhajjumrah.co.uk,https://www.labbaikhajjumrah.co.uk/umrah-packages-birmingham,legitimate_interest,email_verified,21.25,"Umrah Packages Birmingham 2026 include luxury to budget stays with flights, transport, and visa. Let's plan with Labbaik Hajj Umrah for Umrah from Birmingham."
Taqwa Tours,info@taqwatours.us,1 2 3 4 5 6 7 8 9 10 10,taqwatours.us,https://taqwatours.us/umrah-packages/dallas,legitimate_interest,email_verified,21.25,"Efficient, affordable Umrah packages from Dallas with visa, flights, and halal hotels"
Affordable Umrah Packages from Chicago,,+1 (312) 555-0147,umrahpackageschicago.com,https://umrahpackageschicago.com,unknown,phone_verified,11.4,Book trusted Umrah packages from Chicago to Makkah & Madinah. IATA-certified travel agency offering Economy to VIP packages. Flexible payments. Call +1-312-555-0147 today!
Umrah Packages from Houston (IAH),,929)-833-1717,alhamdtravel.com,https://www.alhamdtravel.com/umrah-from-houston.html,unknown,phone_verified,10.17,"Start your Umrah journey from Houston with Alhamd Travel. Packages start at $1290, including flights from IAH, visa, hotels, transport & 24/7 support."
Cheap Umrah Packages from Houston | Bismillah Tours,,929)-833-1717,bismillahtours.com,https://www.bismillahtours.com/houston-umrah-packages.html,unknown,phone_verified,7.5,Discover Affordable Umrah Packages from Houston - Reserve Your Spiritual Journey Now for a Memorable Experience!
iLink Tours,,+1-201-366-1155,ilinktours.com,https://ilinktours.com/chicago-umrah-package,unknown,phone_verified,7.5,"Perform Umrah with our tailored Chicago Umrah Package starting at $695. Enjoy flights, 5-star hotel stays, guided Ziyarat, eVisa service, insurance, and full ground transport."
UAMA,,+1 347 605 1989,uama.us,https://uama.us/umrah,unknown,phone_verified,7.5,"HISAR TOUR × UAMA • From Dream to Reality, We Make It Happen"
Umrah Packages from Houston 2026,,+1 (713) 555-8888,umrahpackageshouston.com,https://umrahpackageshouston.com,unknown,phone_verified,7.5,"Book affordable Umrah packages from Houston to Makkah & Madinah. IATA certified, all-inclusive deals starting at $2,499. Visa, flights, hotels & more. Call now!"
