company,email,phone,domain,source_url,consent_status,verification_status,overall_score,raw_text_snippet
A & A Travel & Tour Inc (formerly known as Baggia Travel),info@aatravel.ca,+1416-335-6026,aatravel.ca,https://aatravel.ca/umrah,legitimate_interest,email_verified,25.70,Best Umrah packages for 2024 by A & A Travel & Tours (Formerly known as Baggia Travels)
Al Badar Travel UK,sales@albadartravel.co.uk,0121 773 4918,albadartravel.co.uk,https://albadartravel.co.uk,legitimate_interest,email_verified,27.81,"Al Badar Travel is one of the West Midland's leading travel agents, located in the heart of Birmingham offering Hajj and Umrah packages at lowest possible rates."
Alfalah Travel and Tourism,info@alfalahtravelandtourism.com,,alfalahtravelandtourism.com,https://alfalahtravelandtourism.com/about-us,legitimate_interest,email_verified,23.20,Discover the Essence of Alfalah Travel & Tours.
Alhadi Travel,info@alhaditravel.co.uk,0203 930 0817,alhaditravel.co.uk,https://alhaditravel.co.uk/city/leicester-umrah-packages,legitimate_interest,email_verified,25.44,"Book your Umrah Package from Leicester today with Alhadi Travel. Affordable, reliable, and ready for your pilgrimage. Reserve your spot today."
Alhaq Tours,info@alhaqtours.com,312) 923 - 7866,alhaqtours.com,https://alhaqtours.com/chicago-umrah-packages.html,legitimate_interest,email_verified,21.25,"Book all-inclusive Chicago Umrah Packages 2026 with Alhaq Tours. Get flights, visa, transport, and hotels near Haramain at the best prices."
Alhaq Travel,quotes@alhaqtravel.co.uk,020 34757513,alhaqtravel.co.uk,https://www.alhaqtravel.co.uk/contact-us,unknown,email_verified,26.42,Contact US | Alhaq Travel UK  | 020 34757513
Alharam travel,info@alharamtravel.co.uk,+447417471247,alharamtravel.co.uk,https://www.alharamtravel.co.uk/offers/umrah-packages-london,legitimate_interest,email_verified,24.73,"We offer Umrah packages from London with the arrangements of your choice at any time of 2026. Return flights from London. 5 star, 4 star, and 3 star hotel options in Makkah and Medina. We make your Umrah tour affordable with advance Umrah Services. Savings up to 30%, flexible payment options."
ATOL Protected Hajj & Umrah,info@alhijaztours.net,0121 777 2522 693,alhijaztours.net,https://alhijaztours.net,legitimate_interest,email_verified,25.25,"Book ATOL-protected Umrah Packages 2026 from the UK with flights, 5★–3★ hotels & transport included. Trusted Hajj & Umrah travel experts."
Almaknoontravels,info@almaknoontravels.co.uk,+44 208 4786 886,almaknoontravels.co.uk,https://almaknoontravels.co.uk/contact-us,legitimate_interest,email_verified,21.25,Contact Us
Hajj – AlSafwa Tours,info@safwatours.com,+1 (872) 263-9805,alsafwatours.com,https://alsafwatours.com/hajj,legitimate_interest,email_verified,21.25,Hajj
Shafie Travels,info@alshafietravels.com,+1(718) 973-9626,alshafietravels.com,https://alshafietravels.com/umrah-packages-houston,legitimate_interest,email_verified,23.92,"Explore Umrah packages from Houston 2026 with flights, hotels and visa support. Check Umrah packages Houston prices and plan your trip with Al Shafie Travels."
Bismillah Hajj and Umrah Services,bismillahhajj2000@hotmail.com,,bismillahhajj.com,https://bismillahhajj.com,unknown,email_verified,21.25,Home - Bismillah Hajj and Umrah Services 416.883.9693 bismillahhajj2000@hotmail.com Home About Us Umrah Packages November Umrah December Umrah Hajj 2025 How to Register Important Information Important Places Common Questions Articles to Pack Arabic Words to Know Seminar Details Hajj Visa Requirements Contact Us Select
Bismillah Travel,info@bismillahtravel.co.uk,0208 145 7860,bismillahtravel.co.uk,https://www.bismillahtravel.co.uk/umrah-from-leicester.html,legitimate_interest,email_verified,25.20,"Book your Umrah package from Leicester with Bismillah Travel. All-inclusive Umrah packages with flights, 3-5 star hotels, visa services, transport & ziyarat tours."
Bismillahtravels,info@bismillahtravels.ca,,bismillahtravels.ca,https://www.bismillahtravels.ca/about.php,legitimate_interest,email_verified,21.25,desc
