company,company_clean,domain,website,country_inferred,country_inference_source,region_inferred,tld,email,email_domain,email_type,role_email,free_email_provider,phone_raw,phone_normalized,contact_readiness,outreach_priority,recommended_channel,consent_status,verification_status,overall_score,raw_text_snippet
Umrah Travel & Halal Tours Company,Crescent Tours,crescenttours.com.au,https://crescenttours.com.au,Australia,domain_tld,APAC,au,enquiry@crescenttours.com.au,crescenttours.com.au,company_domain,yes,no,0420 800 894,+61420800894,email_and_phone,A,email_first,unknown,email_verified,25.20,"With 78 years of experience, Crescent Tours offers premium, all-inclusive Halal & Umrah travel in Australia. Travel with experts who make every trip extraordinary!"
Islamic Travel,Islamic Travel,islamictravel.com.au,https://islamictravel.com.au/about-us,Australia,domain_tld,APAC,au,info@islamictravel.com.au,islamictravel.com.au,company_domain,yes,no,32 654 849 377,+32654849377,email_and_phone,A,email_first,legitimate_interest,email_verified,25.37,"Established in 2017, Islamic Travel Australia designs halal-conscious holidays, tours & Umrah packages with 226+ five-star reviews from happy travellers."
OnpointTravels,Onpoint Travels,onpointtravels.com.au,https://www.onpointtravels.com.au/about-us,Australia,domain_tld,APAC,au,admin@onpointtravels.com.au,onpointtravels.com.au,company_domain,yes,no,1300 854 237,+611300854237,email_and_phone,A,email_first,unknown,email_verified,26.70,"Discover OnPoint Travels, Australia’s trusted Hajj & Umrah travel partner. Offering guided, reliable, and affordable pilgrimage tour packages."
Sohail Waqas Travel,Sohail Waqas Travel,sohailwaqas.com,https://sohailwaqas.com/hajj-packages-australia-prices-services-trusted-agents,Australia,text_hint,APAC,com,info@sohailwaqas.com,sohailwaqas.com,company_domain,yes,no,+92 303 5655552,+923035655552,email_and_phone,A,email_first,legitimate_interest,email_verified,25.06,"Discover 2025 Hajj packages from Australia with 5-star hotels, expert guidance, and affordable deals. Book with Sohail Waqas Travels for a seamless pilgrimage."
World Hajj,World Hajj,worldhajj.com,https://www.worldhajj.com/hajj-packages-from-australia,Australia,text_hint,APAC,com,info@worldhajj.com,worldhajj.com,company_domain,yes,no,+1 307-392-4596,+13073924596,email_and_phone,A,email_first,legitimate_interest,email_verified,25.44,"We are an experienced Australian travel agency offering the best Hajj Packages 2026, from standard to luxury options. Book now!"
Noble Hajj Umrah,Noble Hajj Umrah,noblehajjumrah.com,https://noblehajjumrah.com/contact,Belgium,phone,Europe,com,info@noblehajjumrah.com,noblehajjumrah.com,company_domain,yes,no,+32 465 70 45 62,+32465704562,email_and_phone,A,email_first,legitimate_interest,email_verified,25.31,"Contact Noble Hajj Umrah for Hajj, Umrah, and Islamic tour inquiries. Our team is here to assist you with travel bookings, package details, and personalized support."
Falcon Travel,Falcon Travel,falcontravel.ca,https://falcontravel.ca,Canada,domain_tld,North America,ca,info@falcontravel.ca,falcontravel.ca,company_domain,yes,no,1-844-774-2828,+18447742828,email_and_phone,A,email_first,legitimate_interest,email_verified,25.20,"Falcon Travel offers Hajj, Umrah, Saudi visa services, and Islamic tours for Muslims across Canada. Trusted travel agency serving pilgrims since 1980."
King Travel Can Ltd,King Travel Can Ltd,kingtravelcan.com,https://kingtravelcan.com,Canada,text_hint,North America,com,info@kingtravelcan.com,kingtravelcan.com,company_domain,yes,no,5464) 905-624-8555,+19056248555,email_and_phone,A,email_first,legitimate_interest,email_verified,26.65,"Book Umrah packages from Canada with King Travel. Explore Hajj packages, flight deals, visa support, and trusted travel services for pilgrims across Canada."
Labayk Hajj,Labayk Hajj,labaykhajj.ca,https://labaykhajj.ca/package-chart,Canada,domain_tld,North America,ca,info@labaykhajj.ca,labaykhajj.ca,company_domain,yes,no,+1 613 371-6363,+16133716363,email_and_phone,A,email_first,legitimate_interest,email_verified,25.44,As-salamu alaykum Welcome to Your Trusted Partner for Hajj & Umrah — Labayk Hajj.
Awtar Tours,Awtar Tours,awtartours.com,https://awtartours.com,Egypt,phone,MENA,com,info@awtartours.com,awtartours.com,company_domain,yes,no,+20 106 087 2795,+201060872795,email_and_phone,A,email_first,legitimate_interest,email_verified,24.95,"Experience unforgettable journeys with Awtar Tours. Specializing in Hajj, Umrah, and global travel, we prioritize exceptional customer service and tailor-made packages to meet your needs. Join us for a remarkable adventure that lasts a lifetime."
GRID TRAVEL,GRID TRAVEL,grid-travel.com,https://grid-travel.com/omra,France,phone,Europe,com,info@grid-travel.com,grid-travel.com,company_domain,yes,no,0558 29 81 66,+33558298166,email_and_phone,A,email_first,legitimate_interest,email_verified,27.67,Omra
Hajj Umra Abdalla,Hajj Umra Abdalla,hajj-umra-abdalla.de,https://www.hajj-umra-abdalla.de/en/hajj.html,Germany,domain_tld,Europe,de,info@hajj-umra-abdalla.de,hajj-umra-abdalla.de,company_domain,yes,no,+49 (0) 176 725 422 30,+49017672542230,email_and_phone,A,email_first,legitimate_interest,email_verified,25.44,"Hajj and Umra Abd Alla is a special offer from Mostafa Abd Alla In Mannheim to help you organize your pilgrimage to Mecca and Medina.
   ÙØªÙØ¸ÙÙ Ø±Ø­ÙØ§Øª Ø§ÙØ­Ø¬ ÙØ§ÙØ¹ÙØ±Ø© Ø§ÙÙ Ø§ÙØ£Ø±Ø§Ø¶Ù Ø§ÙÙÙØ¯Ø³Ø© Ø§ÙÙ ÙÙØ© ÙØ§ÙÙØ¯ÙÙØ© Ø§ÙÙÙÙØ±Ø©, Ø§ÙØ­Ø¬ ÙØ§ÙØ¹ÙØ±Ø© Ø¨Ø±Ø¹Ø§ÙØ© Ø§ÙØ³ÙØ¯ ÙØ"
Hisar Europe Travel,Hisar Europe Travel,hisareurope.com,https://hisareurope.com/impressum,Germany,phone,Europe,com,info@hisareurope.com,hisareurope.com,company_domain,yes,no,+49 (0) 221 75993636,+49022175993636,email_and_phone,A,email_first,legitimate_interest,email_verified,25.37,"Hisar Europe Travel'ın yasal bilgileri, Şirket bilgilerimizi ve seyahat hizmetlerimizle ilgili iletişim bilgilerimizi kontrol edin"
Hajj and umrah booking travel to Mecca,Ilamecca,ilamecca.com,https://www.ilamecca.com,Germany,phone,Europe,com,info@ilamecca.com,ilamecca.com,company_domain,yes,no,+49 152 272 44944,+4915227244944,email_and_phone,A,email_first,legitimate_interest,email_verified,26.42,As-salamu alaykum !
Mekka Travel,Mekka Travel,mekka-travel.com,https://mekka-travel.com/umrah,Germany,phone,Europe,com,info@mekka-travel.com,mekka-travel.com,company_domain,yes,no,+49 1575 5743087,+4915755743087,email_and_phone,A,email_first,legitimate_interest,email_verified,25.10,Umrah 2026 mit Mekka Travel GmbH | Dein Partner für spirituelle und zuverlässige Umrah Reisen. Sichere dir jetzt dein Ticket nach Mekka.
Sunnaalive Travel,Sunnaalive Travel,sunnaalivetravel.com,https://sunnaalivetravel.com/umrah-germany-packages,Germany,phone,Europe,com,info@sunnaalivetravel.com,sunnaalivetravel.com,company_domain,yes,no,+4916092324933,+4916092324933,email_and_phone,A,email_first,legitimate_interest,email_verified,26.92,Umrah Germany packages
umrax,umrax,umrax.de,https://www.umrax.de/impressum,Germany,domain_tld,Europe,de,info@umrax.de,umrax.de,company_domain,yes,no,+4915733267143,+4915733267143,email_and_phone,A,email_first,legitimate_interest,email_verified,28.72,Unternehmensname: Worod for Travel and Tourism
Allia Tour & Travel,Allia Tour & Travel,alliatour.com,https://alliatour.com,Indonesia,phone,APAC,com,customerservice@alliatour.com,alliatour.com,company_domain,yes,no,081 212 515 253,+6281212515253,email_and_phone,A,email_first,unknown,email_verified,25.20,Nikmati perjalanan ibadah umrah yang nyaman dengan paket terbaik kami. Daftar sekarang untuk mendapatkan penawaran spesial!
Denatour Travel,Denatour Travel,denatours.com,https://denatours.com,Indonesia,text_hint,APAC,com,operation@denatours.com,denatours.com,company_domain,no,no,+6221) 7944584,+62217944584,email_and_phone,A,email_first,unknown,email_verified,24.58,"Denatour Travel berdiri sejak tahun 1995 , berpengalaman memberikan Pelayanan Umrah – Hajji Plus dan menjadi Travel Perintis Islamic tour Mancanegara di Indonesia. Kami Dewasa karna dukungan anda

Denatour Travel memilik Izin Umrah dan Hajji resmi dari Departement Agama sejak tahun 1996 dengan alamat gedung tetap dan t"
Travel Umroh Terbaik di Jakarta,Dream Tour,dreamtour.co,https://dreamtour.co/hajj,Indonesia,text_hint,APAC,co,info@dreamtour.co,dreamtour.co,company_domain,yes,no,021) 21381090,+622121381090,email_and_phone,A,email_first,legitimate_interest,email_verified,24.67,"PT Dream Tours and Travel adalah Travel Umroh Terbaik di Jakarta yang akan membantu Anda untuk mendapatkan pelayanan yang terbaik untuk perjalanan Umroh dan Liburan. 
    Menyediakan berbagai pilihan paket dengan biaya umroh 2026 - 2027 yang kompetitif dan relatif murah / hemat.Pilihan paket yang kami tawarkan mulai d"
NehSher Tour Travel,NehSher Tour Travel,nehshertour.com,https://www.nehshertour.com/country/prancis,Indonesia,phone,APAC,com,marketing@nehshertour.com,nehshertour.com,company_domain,no,no,+6285320111976,+6285320111976,email_and_phone,A,email_first,unknown,email_verified,25.37,Semua paket tour travel untuk lokasi wisata negara Prancis dengan layanan terbaik dan harga termurah.
YOUR TRAVEL CONSULTANT,YOUR TRAVEL CONSULTANT,mimmtravel.com,https://mimmtravel.com,Malaysia,phone,APAC,com,info@mimmtravel.com,mimmtravel.com,company_domain,yes,no,+6011 1029 7879,+601110297879,email_and_phone,A,email_first,legitimate_interest,email_verified,25.15,YOUR TRAVEL CONSULTANT UTAMA MIMM TRAVEL UMRAH HAJI LUAR NEGARA DALAM NEGARA INSURANS & VISA HUBUNGI 03 4162 7879 +6011 1029 7879 info@mimmtravel.com UTAMA MIMM TRAVEL UMRAH HAJI LUAR NEGARA DALAM NEGARA INSURANS & VISA HUBUNGI UTAMA MIMM TRAVEL UMRAH HAJI LUAR NEGARA DALAM NEGARA INSURANS & VISA HUBUNGI MAKLUMAT LANJU
SAAG TRAVEL,SAAG TRAVEL,saagtravel.com.my,https://saagtravel.com.my/pakej-percutian/percutian-luar-negara/afrika-selatan,Malaysia,domain_tld,APAC,my,sales@saagtravel.com.my,saagtravel.com.my,company_domain,yes,no,+60 12-346 2720 0,+601234627200,email_and_phone,A,email_first,legitimate_interest,email_verified,27.25,Afrika Selatan
"Umrah & Hajj Packages Johor Bahru (JB), Travel Agency",Tiram,tiram.com.my,https://www.tiram.com.my,Malaysia,domain_tld,APAC,my,tiram@tiram.com.my,tiram.com.my,company_domain,no,no,+60197149236,+60197149236,email_and_phone,A,email_first,unknown,email_verified,24.71,"Tiram Travel Sdn Bhd specializes in Umrah and Hajj packages, reservation for worldwide tickets (domestic & international), inbound and outbound packages, hotel reservations, transportation arrangements and visa applications."
Alhijra Travel BV,Alhijra Travel BV,alhijratravel.nl,https://www.alhijratravel.nl,Netherlands,domain_tld,Europe,nl,booking@alhijratravel.nl,alhijratravel.nl,company_domain,yes,no,+31 010 226 20 98,+310102262098,email_and_phone,A,email_first,unknown,email_verified,25.06,Alhijra Travel BV – In dienst van Duyuf al Rahman +31 010 226 20 98 +31 010 226 20 98 booking@alhijratravel.nl Inloggen Registreren Inloggen Registreren Home Umrah Al Aqsa Hadj 2026 Contact +31 010 226 20 98 +31 010 226 20 98 booking@alhijratravel.nl Inloggen Registreren Home Umrah Al Aqsa Hadj 2026 Contact Home Umrah
Resala Travel,Resala Travel,resalatravel.com,https://resalatravel.com,Netherlands,phone,Europe,com,info@resalatravel.com,resalatravel.com,company_domain,yes,no,+31 6 41712806,+31641712806,email_and_phone,A,email_first,legitimate_interest,email_verified,25.37,"Expert-guided spiritual journeys to Mecca and Medina with premium accommodations, experienced Islamic scholars, small-group attention, and complete visa &â¦"
Umrah Travel,Umrah Travel,umrahtravel.nl,https://umrahtravel.nl,Netherlands,domain_tld,Europe,nl,info@umrahtravel.nl,umrahtravel.nl,company_domain,yes,no,+31 85 12 48 780,+31851248780,email_and_phone,A,email_first,legitimate_interest,email_verified,27.67,...
Worldwide Travel Tour Ism,Worldwide Travel Tour Ism,worldwidetraveltourism.nz,https://www.worldwidetraveltourism.nz/hajj-packages,New Zealand,domain_tld,APAC,nz,info@worldwidetraveltourism.nz,worldwidetraveltourism.nz,company_domain,yes,no,+91 9711198463,+19197111984,email_and_phone,A,email_first,legitimate_interest,email_verified,25.15,Explore most popular and recommended Hajj packages from New Zealand. We committed to provide quality Hajj program at any cost to pilgrimage Hajj 2025
Shahzada Travel,Shahzada Travel,shahzadatravel.com,https://shahzadatravel.com,Saudi Arabia,text_hint,MENA,com,info@shahzadatravel.com,shahzadatravel.com,company_domain,yes,no,+49-123-456-7890,+491234567890,email_and_phone,A,email_first,legitimate_interest,email_verified,25.02,"Discover Shahzada Travel, your premier travel agency in Germany. We specialize in travel tickets, visa assistance, hotel bookings, and Hajj travel packages to Saudi Arabia. Experience seamless travel planning with our expert services tailored for your needs."
Al Aqiq Travels SA,Al Aqiq Travels SA,alaqiq.co.za,https://alaqiq.co.za,South Africa,domain_tld,Africa,za,admin@alaqiq.co.za,alaqiq.co.za,company_domain,yes,no,+27 72 400 4899,+27724004899,email_and_phone,A,email_first,unknown,email_verified,26.07,Experience the excitement.
Crest Travel,Crest Travel,cresttravel.co.za,https://cresttravel.co.za/site,South Africa,domain_tld,Africa,za,info@cresttravel.co.za,cresttravel.co.za,company_domain,yes,no,031 303 2028,+27313032028,email_and_phone,A,email_first,legitimate_interest,email_verified,28.27,For more information on Covid-19 click here
Your One Stop Travel Shop,Your One Stop Travel Shop,onestoptours.co.za,https://onestoptours.co.za/categories/umrah,South Africa,domain_tld,Africa,za,info@onestoptours.co.za,onestoptours.co.za,company_domain,yes,no,0860 109 500,+27860109500,email_and_phone,A,email_first,legitimate_interest,email_verified,26.65,Talk to an expert
